#-- One- and Two-neutron separation energies as evaluated by Audi et al., 
#-- G.Audi et al., Nuclear Physics A729 (2003) 337-676
#
#-------------------------------------------------
# A  elt  Z        S(n)                S(2n)      
#-------------------------------------------------
  1  n   0       0.0     0.0         *           
 52 Ni  28   19287.0    274.0  	 35005.0    274.0  
 52 Cu  29       *           	     *            
 53 Ar  18     470.0   1345.0  	  3744.0   1217.0   
 53 K   19    3870.0    988.0  	  6138.0    861.0   
 53 Ca  20    3460.0    861.0  	  8178.0    512.0   
 53 Sc  21    5338.0    355.0  	 10547.0    299.0  
 53 Ti  22    5435.32  100.3048  13243.62  100.05
 53 V   23    8478.85    3.2686  15790.09    3.25
 53 Cr  24    7939.12    0.1403  19978.57    0.99
 53 Mn  25   12053.78    1.9104  22589.20    1.01
 53 Fe  26   10685.03    6.7187  26865.62   15.09
 53 Co  27   16800.0     68.0    31513.0    150.0    
 53 Ni  28   14787.0    179.0  	 34074.0    305.0  
 53 Cu  29   18905.0    369.0  	     *            
 54 K   19    1476.0   1142.0  	  5347.0   1142.0   
 54 Ca  20    4066.0    861.0  	  7526.0    988.0  
 54 Sc  21    4667.0    475.0  	 10004.93  417.56
 54 Ti  22    6836.87  159.8905  12272.19  124.92
 54 V   23    6113.43   15.3234  14592.28   15.03
 54 Cr  24    9719.12    0.1213  17658.25    0.19
 54 Mn  25    8938.78    1.0641  20992.56    2.14
 54 Fe  26   13378.45    1.6392  24063.48    6.51
 54 Co  27   13436.03   18.0192  30236.0     65.0  
 54 Ni  28   17912.0    166.0    32699.0     98.0    
 54 Cu  29   16306.0    338.0  	 35210.0    338.0  
 54 Zn  30       *           	     *            
 55 K   19    2939.0   1345.0  	  4415.0   1217.0   
 55 Ca  20    2296.0    988.0  	  6362.0    861.0   
 55 Sc  21    3433.05  823.81	  8100.0    794.0  
 55 Ti  22    4147.25  196.7099  10984.13  182.06
 55 V   23    7331.85  101.1261  13445.29  100.05
 55 Cr  24    6246.26    0.1915  15965.38    0.22
 55 Mn  25   10226.53    1.0795  19165.31    0.47
 55 Fe  26    9298.23    0.2043  22676.68    1.65
 55 Co  27   14089.33    0.3987  27525.37   18.01
 55 Ni  28   14196.12   51.2079  32108.0    159.0  
 55 Cu  29   18001.0    367.0  	 34307.0    396.0  
 55 Zn  30   16427.0    473.0  	     *            
 56 Ca  20    3395.0   1142.0  	  5691.0   1142.0   
 56 Sc  21    3762.0   1015.0  	  7195.0    791.0  
 56 Ti  22    5337.77  248.06	  9485.02  232.27
 56 V   23    4999.93  227.43	 12331.79  204.81
 56 Cr  24    8245.07    2.0207  14491.33    2.01
 56 Mn  25    7270.45    0.1312  17496.97    1.08
 56 Fe  26   11197.30    0.2540  20495.53    0.31
 56 Co  27   10083.11    2.0506  24172.45    2.03
 56 Ni  28   16639.41   15.6017  30835.53   51.21
 56 Cu  29   15048.0    329.0  	 33049.0    256.0   
 56 Zn  30   18877.0    362.0  	 35303.0    478.0  
 56 Ga  31       *           	     *            
 57 Ca  20    1750.0   1348.0  	  5145.0   1220.0   
 57 Sc  21    3488.0    988.0  	  7251.0   1015.0  
 57 Ti  22    2678.44  495.79	  8016.21  480.15
 57 V   23    6179.95  309.8436  11179.88  253.53
 57 Cr  24    5314.21    2.6373  13559.28    2.02
 57 Mn  25    8648.41    1.9113  15918.85    1.91
 57 Fe  26    7646.10    0.0339  18843.40    0.25
 57 Co  27   11376.17    2.0720  21459.28    0.63
 57 Ni  28   10249.61   11.2187  26889.02   11.15
